name			 type			 lineno
for			 keyword			16 47 

temp[1000]			 identifier			5 

mini			 identifier			24 32 

"%s"			 In printf			17 

printf			 keyword			48 

strcpy			 identifier			39 40 41 

names[1000][1000]			 identifier			4 

Feb			 identifier			6 

scanf			 keyword			15 17 

(			 Symbols			7 15 16 17 28 30 30 37 39 40 41 45 47 48 

)			 Symbols			7 15 16 17 28 30 30 37 39 40 41 45 47 48 

+			 operator			25 

temp			 identifier			39 41 

0			 constant			30 

1			 constant			16 19 25 47 

;			 Symbols			4 5 12 14 15 16 16 17 19 20 24 25 32 35 37 39 40 41 43 45 47 47 48 

<			 operator			16 28 37 45 47 

=			 operator			13 16 16 19 24 25 28 32 37 45 47 47 

>			 operator			30 

while			 keyword			37 45 

#include<stdio.h>			 Header file			1 

main			 identifier			7 

i			 identifier			14 16 16 16 19 24 25 43 45 47 47 47 

j			 identifier			20 25 28 32 35 37 

n			 identifier			14 16 28 37 45 47 

do			 keyword			22 26 

s			 identifier			13 

&n			 Address Specifier			15 

{			 Symbols			8 23 27 29 31 

void			 identifier			7 

}			 Symbols			33 34 37 45 49 

++			 operator			16 35 43 47 

names[i]			 identifier			17 40 41 48 

int			 datatype			12 14 20 24 

names[j]			 identifier			30 

strcmp			 identifier			30 

"%s "			 In printf			48 

names[mini]			 identifier			30 39 40 

"%d"			 In printf			15 

#include<string.h>			 Header file			2 

if			 keyword			28 30 

char			 datatype			4 5 13 

